Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Dominica,"National currency per US$, period average.",,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Dominican Republic,"National currency per US$, period average.  Line rf of IFS.",,1,1,1,1,1,3.112608,2.904333,3.844758,6.112517,6.34,8.5253,12.575917,12.5,12.5,12.616783,12.87,12.89635,14.005925,14.703108,15.834425,16.18145,16.690958,17.593042,29.37,41.9303,30.2828,33.300042,33.171858,34.52935,35.97185,36.821292,38.087583,39.320317,41.794508,43.549675,45.0455,46.064442,47.534358,49.509992,51.294858,56.524533,57.19
Ecuador,"National currency per US$, period average.","Ecuador adopted the US dollar as its national currency in March 2000 and the dollarisation process was largely complete by September 2000, exchange rate fixed at 25000 Sucres:1 US$.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Egypt,"Break in series: post 1987 National currency per US$, period average.  (Line rh of IFS); All earlier data estimated black market rate.",,0.7,0.77,0.9,1.15,1.25,1.53,1.88,2.14,2.291316,2.520337,2.699996,3.216464,3.324662,3.355562,3.43409,3.404985,3.401964,3.396629,3.39,3.4,3.473333,3.9675,4.5,5.835833,6.196667,5.778333,5.725833,5.634167,5.433333,5.545,5.626667,5.935833,6.060833,6.869167,7.08,7.713333,10.07,17.841667,17.815,16.819167,15.815,15.696667
El Salvador,"National currency per US$, period average.  Line rf of IFS.",In January 2001 the US dollar became legal tender. The USD is now the local currency unit.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Equatorial Guinea,"National currency per US$, period average. ",,211.279167,271.7325,328.608333,381.065833,436.9575,449.264167,346.306667,300.5375,297.85,319.009167,272.265833,282.108333,264.694167,283.1625,555.205833,499.15,511.551667,583.670833,589.9525,615.673333,711.831667,732.899167,696.381667,581.059167,528.123333,527.79,522.86,479.264167,448.215833,472.024167,495.310833,471.765833,510.514167,494.045833,494.414167,591.45,593.014167,582.03,555.7,585.959167,575.5875,554.7
Eritrea,"National currency per US$, period average. ",,2.07183,2.07183,2.07183,2.07183,2.07183,2.07183,2.07183,2.07183,2.07183,2.07183,2.07183,2.07183,2.80497,5.00441,5.46982,6.16376,6.35728,6.75882,7.36193,8.15263,9.625,11.30945,13.95819,13.87789,13.7875,15.36792,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.35,15.075,15.075,15.075,15.075,15.075
Estonia,"National currency per US$, period average.  ","ECU:US$ pre-1999, Euro:US$ post-1999.",0.718907,0.894775,1.020408,1.123596,1.265823,1.315789,1.020408,0.869565,0.847458,0.909091,0.787402,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.8456
Eswatini,"National currency per US$, period average. ",,0.779267,0.878108,1.086642,1.115025,1.478808,2.2345,2.288225,2.038525,2.283867,2.621533,2.587808,2.76125,2.853542,3.270283,3.551658,3.627617,4.300367,4.608083,5.531475,6.117425,6.94695,8.625542,10.518792,7.556875,6.448,6.359883,6.76485,7.046992,8.258767,8.423375,7.3153,7.259667,8.203133,9.644175,10.846933,12.758125,14.692383,13.302483,13.238517,14.440567,16.464533,14.78
Ethiopia,"National currency per US$, period average. ",,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.8025,5,5.465,6.158333,6.351675,6.709342,7.115908,7.94225,8.217258,8.457492,8.56775,8.599683,8.635583,8.666442,8.698616,8.96595,9.599742,11.7776,14.409591,16.899226,17.704763,18.626629,19.58579,20.576849,21.731548,23.866105,27.429387,29.06975,34.927166,43.82
