Exports to,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belize,X534T339,India: Exports to Belize (Mil.US$),#N/A,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,0.09,0.17,0.22,0.09,0.01,0.09,0.03,0.08,0.33,0.47,0.19,0.56,2.23,1.39,2.25,1.84,4.99,7.07,1.88,10.84,22.33,24.6,24.38,22.97,16.07,15.15,14.76,14.18,16.32,9.4
Jamaica,X534T343,India: Exports to Jamaica (Mil.US$),0.13,0.1,0.03,0.06,0.06,0.1,0.41,0.47,0.4,0.54,0.26,0.62,0.63,1.79,3,0.69,1.34,1.43,1.68,3.38,7.8,7.66,9.2,9.43,11.95,22.75,21.57,23.54,21.31,20.29,21.3,26.02,30.88,33.18,36.33,41.17,42.15,50.04,54.62,56.63,57.65
Leeward Islands,X534T346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,X534T349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,X534T351,India: Exports to Montserrat (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,0.02,0.06,0.06,0.06
Netherlands Antilles,X534T353,India: Exports to Netherlands Antilles (Mil.US$),1.17,0.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.22,0.44,1.67,1.54,1.99,2.74,6.37,8.23,1.42,4.98,6.1,7.48,19,23.93,27.63,15.99,7.12,9.52,12.37,10.82,14.55,21.42,55.14,43.01,54.87,67.39,44.88,39.06,38.19,41.17,27.76,32.88,#N/A
St Kitts and Nevis,X534T361,India: Exports to St. Kitts & Nevis (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,0.01,0.06,0.07,0.03,0.01,0.05,0.02,#N/A,0.08,0.03,#N/A,0.01,0.06,0.26,0.45,0.59,1.09,0.85,0.92,1.4,1.01,0.85,0.65,1.21,1.14,2.15,3.07,2.79,2.4,2.65,1.11
St Lucia,X534T362,India: Exports to St. Lucia (Mil.US$),0.01,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,0.02,0.04,0.02,0.13,0.09,0.32,0.13,0.18,0.28,0.37,0.37,0.39,0.41,0.45,0.67,0.68,0.57,1.02,1.14,2.44,1.12,1.22,1.55,2.38,2.66,3.75,4.26,4.53,3.25,2.77
St Pierre and Miguelon,X534T363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Vincent and Grenadines,X534T364,India: Exports to St. Vincent & Grenadines (Mil.US$),0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,1.11,#N/A,#N/A,0.53,#N/A,#N/A,2.7,0.09,0.18,0.12,0.21,0.37,0.36,0.44,0.84,0.34,0.41,0.27,0.59,1.82,0.73,0.65,0.79,0.72,0.57,0.81,0.44
